Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
37,tt0780536,2023-01-22,2023-01-22,,In Bruges,https://www.imdb.com/title/tt0780536/,movie,7.9,107,2008,"Comedy, Crime, Drama, Thriller",433732,2008-01-17,Martin McDonagh,,
38,tt4761112,2023-01-22,2023-01-22,,The Mauritanian,https://www.imdb.com/title/tt4761112/,movie,7.4,129,2021,"Biography, Drama, Thriller",52882,2021-02-12,Kevin Macdonald,,
39,tt8946378,2023-01-22,2023-01-22,,Knives Out,https://www.imdb.com/title/tt8946378/,movie,7.9,130,2019,"Comedy, Crime, Drama, Mystery, Thriller",687752,2019-09-07,Rian Johnson,,
40,tt10919420,2023-01-22,2023-01-22,,Ojing-eo geim,https://www.imdb.com/title/tt10919420/,tvSeries,8.0,55,2021,"Action, Drama, Mystery, Thriller",453246,2021-09-17,,,
41,tt13087796,2023-01-22,2023-01-22,,Ich bin dein Mensch,https://www.imdb.com/title/tt13087796/,movie,7.1,108,2021,"Comedy, Drama, Romance, Sci-Fi",9875,2021-05-31,Maria Schrader,,
42,tt7638348,2023-01-22,2023-01-22,,Boss Level,https://www.imdb.com/title/tt7638348/,movie,6.8,100,2020,"Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller",69779,2020-02-11,Joe Carnahan,,
43,tt0103241,2023-01-22,2023-01-22,,What About Bob?,https://www.imdb.com/title/tt0103241/,movie,7.0,99,1991,Comedy,70958,1991-05-17,Frank Oz,,
44,tt0432283,2023-01-22,2023-01-22,,Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/,movie,7.9,87,2009,"Animation, Adventure, Comedy, Crime, Drama, Family",236624,2009-10-14,Wes Anderson,,
45,tt13320622,2023-01-22,2023-01-22,,The Lost City,https://www.imdb.com/title/tt13320622/,movie,6.1,112,2022,"Action, Adventure, Comedy, Romance",125124,2022-03-12,"Adam Nee, Aaron Nee",,
46,tt0443536,2023-01-22,2023-01-22,,Hoodwinked!,https://www.imdb.com/title/tt0443536/,movie,6.5,80,2005,"Animation, Adventure, Comedy, Crime, Family, Musical, Mystery",62782,2005-12-16,"Cory Edwards, Todd Edwards, Tony Leech",,
47,tt0256524,2023-01-22,2023-01-22,,The Curse of the Jade Scorpion,https://www.imdb.com/title/tt0256524/,movie,6.7,103,2001,"Comedy, Crime, Mystery, Romance",41166,2001-08-05,Woody Allen,,
48,tt2375605,2023-01-22,2023-01-22,,The Act of Killing,https://www.imdb.com/title/tt2375605/,movie,8.2,117,2012,"Documentary, Biography, Crime, History, War",38799,2012-08-31,"Joshua Oppenheimer, Christine Cynn, Anonymous",,
49,tt11286314,2023-01-22,2023-01-22,,Don't Look Up,https://www.imdb.com/title/tt11286314/,movie,7.2,138,2021,"Comedy, Drama, Sci-Fi",541357,2021-12-05,Adam McKay,,
50,tt8847712,2023-01-22,2023-01-22,,The French Dispatch,https://www.imdb.com/title/tt8847712/,movie,7.1,107,2020,"Comedy, Drama, Romance",125399,2020-12-24,Wes Anderson,,
51,tt6710474,2023-01-22,2023-01-22,,Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,movie,8.0,139,2022,"Action, Adventure, Comedy, Fantasy, Sci-Fi",291780,2022-03-11,"Dan Kwan, Daniel Scheinert",,
52,tt1423894,2023-01-22,2023-01-22,,Barney's Version,https://www.imdb.com/title/tt1423894/,movie,7.3,134,2010,"Comedy, Drama",25416,2010-04-30,Richard J. Lewis,,
53,tt6467266,2023-01-22,2023-01-22,,Sing 2,https://www.imdb.com/title/tt6467266/,movie,7.4,110,2021,"Animation, Adventure, Comedy, Family, Musical",70896,2021-11-14,"Garth Jennings, Christophe Lourdelet",,
54,tt0081505,2023-01-22,2023-01-22,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",1027661,1980-05-23,Stanley Kubrick,,
55,tt1677720,2023-01-22,2023-01-22,,Ready Player One,https://www.imdb.com/title/tt1677720/,movie,7.4,140,2018,"Action, Adventure, Sci-Fi",441177,2018-03-11,Steven Spielberg,,
56,tt12593682,2023-01-22,2023-01-22,,Bullet Train,https://www.imdb.com/title/tt12593682/,movie,7.3,127,2022,"Action, Comedy, Thriller",269044,2022-07-18,David Leitch,,
